lambda_rel,lambda_sat,lambda_rev,lambda_cost,mean_relevance,mean_satisfaction,mean_revenue_norm,mean_cost_norm
0.3709832839999287,0.39626390792263244,0.0009049558975275428,0.2318478521799113,0.5709604097605632,0.7709345924660861,0.18520302527516033,0.24900484926729913
0.548209778807354,0.15749211573681923,0.0010485710851975815,0.2932495343706292,0.5790577275137219,0.6993610323797815,0.1799221681508911,0.24093100917185
0.40354747386295514,0.2351067034270209,0.3606108906893576,0.0007349320206665164,0.5637928207605655,0.6958664807921603,0.367341152265016,0.41709651744727805
0.25847028668558547,0.06268424371357659,0.19717582957873864,0.4816696400220993,0.560102409403459,0.6697064870685744,0.16523352768969451,0.21977776754676037
0.48108993612630613,0.28551174346203123,0.07243748992655705,0.16096083048510573,0.5797518265288053,0.7451849350533931,0.2019746062664261,0.2616484474819754
0.5387912451239422,0.3918090618768698,0.03377203648302989,0.0356276565161581,0.5758508043839466,0.7577470275667817,0.21052978258405328,0.27134585429794683
0.21149782312109572,0.13289654851666308,0.32111304252413586,0.3344925858381053,0.5707586324453034,0.7389675048253587,0.21558491610304376,0.2647666872679298
0.5079448494365378,0.08978699559374888,0.22492661233988148,0.17734154262983187,0.5755601787728153,0.6731360004615914,0.23233572158876514,0.28853018143278863
0.33608899813672494,0.2316818415828038,0.4313529939674956,0.0008761663129757988,0.5486811696350071,0.6844867128884462,0.4134791836011698,0.4598351954293352
0.5185514604271478,0.3202006684170293,0.07269216647021573,0.08855570468560708,0.580503233381579,0.7507150462735053,0.21284106644410744,0.2723680883793749
0.4248748511364888,0.33608959787740894,0.0008139068889071896,0.238221644097195,0.5722666792774528,0.760823129938229,0.18613794986075607,0.24913913412661762
0.3545707484176246,0.0010916112604896623,0.2794550448999839,0.36488259542190177,0.5617831840523371,0.609827969512225,0.19823724081498728,0.2495320262414051
0.4422150313851879,0.1704420944314662,0.18694653003716558,0.20039634414618035,0.57962467107902,0.7171533095151439,0.2142750220474161,0.27080308356807703
0.4963841640381717,0.29791338723454086,0.17450301247748318,0.031199436249804268,0.5778349397903739,0.7427931580060283,0.25164429142267963,0.3074774393626661
0.1780483604143326,0.17153234466447712,0.2542728544123537,0.3961464405088366,0.5624668979723279,0.750153310792249,0.1855664736063761,0.2392938843065135
0.48150910638157435,0.14683350898629502,0.0008885048017073301,0.3707688798304232,0.5746055451385768,0.6994856338134702,0.17175021063326057,0.2324295040017635
0.6178869186293233,0.057312163242204395,0.001328644768837057,0.32347227335963513,0.5731166205560234,0.6488383216466352,0.17668968491936238,0.23676848174304116
0.4331913779895198,0.21200209374080028,0.0480855615330387,0.30672096673664134,0.5748367168652021,0.7265731071213508,0.1803867775199744,0.24044683249468501
0.10477691205816514,0.2311398252065896,0.3866031760450823,0.27748008669016294,0.5487766935855888,0.7722687333170617,0.27764207298849203,0.32701265547363945
0.627818064962,0.22825450877594072,0.0009222616264689367,0.1430051646355903,0.5807767647838762,0.7106762150648503,0.19618302325484052,0.2579226470129025
0.1449309540730832,0.0655243568649214,0.31092723810831235,0.47861745095368313,0.5456861189382357,0.6872844736786842,0.17439271691810077,0.21952383368729403
0.3803614167537661,0.430010029783288,0.18874917803856214,0.0008793754243838279,0.5626418685239732,0.7701786302544716,0.2540295775435453,0.3116200083039722
0.41822575295240766,0.30946260613677146,0.27155110347595834,0.0007605374348625649,0.5688003894101507,0.736044188530976,0.30556583588195535,0.360493989953527
0.4783181241716577,0.09968659600145037,0.01037045268698296,0.411624827139909,0.5720033505956512,0.6764332483407238,0.1672529312962191,0.22800671422073202
0.6122270008769874,0.11108022997010952,0.018346688925220372,0.2583460802276828,0.5763221788864601,0.6787720440810534,0.18352377357698343,0.24399073968613438
0.5522878180164983,0.20844661781103646,0.07438791780200008,0.16487764637046512,0.5806098655197113,0.7151727158208004,0.20279572196854678,0.2627968602024348
0.0009376843448147093,0.38945586988378805,0.30477870319170897,0.3048277425796883,0.5280955904213162,0.7773381889794533,0.21166860169556437,0.26834380704754024
0.03265907407003015,0.6225602902438054,0.3332329393522075,0.011547696333956945,0.5320991340601264,0.764164804130548,0.2955942750293046,0.34997639882462683
0.4452033579993993,0.19801349108973398,0.1876993620877479,0.16908378882311886,0.5823820703781084,0.7278217914536153,0.22340045319968999,0.2800794553794804
